field_name,short_description,long_description
TAZID,"TAZ identifier","Internal model TAZ number for the origin zone being reported. Dummy and external zones are excluded and the script prints rows only for zones with positive developable acres."
CO_TAZID,"County TAZ identifier","County or local TAZ identifier from the TAZ input DBF. This is carried with the model TAZID for reporting and joins."
DevAcres,"Developable acres","Developable acreage for the TAZ from the TAZ input. The script filters the output to zones with positive DEVACRES in Urbanization.dbf."
HH,"Households","Total households in the TAZ from SE_File.dbf TOTHH. This is used to convert access-to-jobs scores into realized access for residents."
Job,"Jobs","Total employment in the TAZ from SE_File.dbf TOTEMP. This is used to convert access-to-households scores into realized access for jobs or workplaces."
Job_byAuto,"Potential access to jobs by auto","Time-decay weighted jobs reachable from the TAZ by congested peak auto. The script sums destination jobs after applying the auto ATO weight based on average AM forward and PM reverse general purpose travel time."
Job_byTran,"Potential access to jobs by transit","Time-decay weighted jobs reachable from the TAZ by peak transit. The value is the higher of walk-access transit and drive-access transit access to jobs."
Job_byBike,"Potential access to jobs by bike","Time-decay weighted jobs reachable from the TAZ by bicycle. Bike travel time is based on straight-line distance between TAZ centroids and the model bike speed."
Job_byWalk,"Potential access to jobs by walk","Time-decay weighted jobs reachable from the TAZ by walking. Walk travel time is based on straight-line distance between TAZ centroids and the model walk speed."
act_Job_byAuto,"Realized access to jobs by auto","Job_byAuto multiplied by households in the origin TAZ. Realized means the potential access score is weighted by the number of households that benefit from it so it represents aggregate resident access rather than access for one representative household."
act_Job_byTran,"Realized access to jobs by transit","Job_byTran multiplied by households in the origin TAZ. Realized means the potential access score is weighted by the number of households that benefit from it so it represents aggregate resident access rather than access for one representative household."
act_Job_byBike,"Realized access to jobs by bike","Job_byBike multiplied by households in the origin TAZ. Realized means the potential access score is weighted by the number of households that benefit from it so it represents aggregate resident access rather than access for one representative household."
act_Job_byWalk,"Realized access to jobs by walk","Job_byWalk multiplied by households in the origin TAZ. Realized means the potential access score is weighted by the number of households that benefit from it so it represents aggregate resident access rather than access for one representative household."
Loss_Job_Cong,"Congestion loss in job access","Computed as Job_byAuto minus tmp_Job_byAuto_FF. It is the signed difference between congested peak auto access and free-flow auto access to jobs; negative values indicate access reduced by congestion."
Loss_Job_Net,"Network loss in job access","Computed as tmp_Job_byAuto_FF minus tmp_Job_byAuto_SL. It is the signed difference between free-flow network access and straight-line reference access to jobs; negative values indicate access reduced by network circuity."
Loss_Job_Abs,"Total auto loss in job access","Computed as Loss_Job_Cong plus Loss_Job_Net which is equivalent to Job_byAuto minus tmp_Job_byAuto_SL. It captures the total signed difference between congested auto access and the straight-line reference for jobs."
act_Loss_Job_Cong,"Realized congestion loss in job access","Computed as act_Job_byAuto minus act_Job_byAuto_FF in the script logic. This is the congestion-related job access difference weighted by households in the origin TAZ."
act_Loss_Job_Net,"Realized network loss in job access","Computed as act_Job_byAuto_FF minus act_Job_byAuto_SL in the script logic. This is the network-circuity job access difference weighted by households in the origin TAZ."
act_Loss_Job_Abs,"Realized total auto loss in job access","Computed as act_Loss_Job_Cong plus act_Loss_Job_Net. This is the total auto job-access difference from congested network travel to the straight-line reference weighted by households in the origin TAZ."
HH_byAuto,"Potential access to households by auto","Time-decay weighted households reachable from the TAZ by congested peak auto. The script sums destination households after applying the auto ATO weight based on average AM forward and PM reverse general purpose travel time."
HH_byTran,"Potential access to households by transit","Time-decay weighted households reachable from the TAZ by peak transit. The value is the higher of walk-access transit and drive-access transit access to households."
HH_byBike,"Potential access to households by bike","Time-decay weighted households reachable from the TAZ by bicycle. Bike travel time is based on straight-line distance between TAZ centroids and the model bike speed."
HH_byWalk,"Potential access to households by walk","Time-decay weighted households reachable from the TAZ by walking. Walk travel time is based on straight-line distance between TAZ centroids and the model walk speed."
act_HH_byAuto,"Realized access to households by auto","HH_byAuto multiplied by jobs in the origin TAZ. Realized means the potential access score is weighted by the number of jobs or workplaces that benefit from it so it represents aggregate workplace access to households rather than access for one representative job."
act_HH_byTran,"Realized access to households by transit","HH_byTran multiplied by jobs in the origin TAZ. Realized means the potential access score is weighted by the number of jobs or workplaces that benefit from it so it represents aggregate workplace access to households rather than access for one representative job."
act_HH_byBike,"Realized access to households by bike","HH_byBike multiplied by jobs in the origin TAZ. Realized means the potential access score is weighted by the number of jobs or workplaces that benefit from it so it represents aggregate workplace access to households rather than access for one representative job."
act_HH_byWalk,"Realized access to households by walk","HH_byWalk multiplied by jobs in the origin TAZ. Realized means the potential access score is weighted by the number of jobs or workplaces that benefit from it so it represents aggregate workplace access to households rather than access for one representative job."
Loss_HH_Cong,"Congestion loss in household access","Computed as HH_byAuto minus tmp_HH_byAuto_FF. It is the signed difference between congested peak auto access and free-flow auto access to households; negative values indicate access reduced by congestion."
Loss_HH_Net,"Network loss in household access","Computed as tmp_HH_byAuto_FF minus tmp_HH_byAuto_SL. It is the signed difference between free-flow network access and straight-line reference access to households; negative values indicate access reduced by network circuity."
Loss_HH_Abs,"Total auto loss in household access","Computed as Loss_HH_Cong plus Loss_HH_Net which is equivalent to HH_byAuto minus tmp_HH_byAuto_SL. It captures the total signed difference between congested auto access and the straight-line reference for households."
act_Loss_HH_Cong,"Realized congestion loss in household access","Computed as act_HH_byAuto minus act_HH_byAuto_FF in the script logic. This is the congestion-related household access difference weighted by jobs in the origin TAZ."
act_Loss_HH_Net,"Realized network loss in household access","Computed as act_HH_byAuto_FF minus act_HH_byAuto_SL in the script logic. This is the network-circuity household access difference weighted by jobs in the origin TAZ."
act_Loss_HH_Abs,"Realized total auto loss in household access","Computed as act_Loss_HH_Cong plus act_Loss_HH_Net. This is the total auto household-access difference from congested network travel to the straight-line reference weighted by jobs in the origin TAZ."
tmp_Job_byTran_wk,"Walk-access transit job access","Intermediate potential access to jobs by walk-access peak transit. The script takes the best of the w4 through w9 peak transit skims before comparing it with drive-access transit."
tmp_Job_byTran_dr,"Drive-access transit job access","Intermediate potential access to jobs by drive-access peak transit. The script takes the best of the d4 through d9 peak transit skims before comparing it with walk-access transit."
tmp_HH_byTran_wk,"Walk-access transit household access","Intermediate potential access to households by walk-access peak transit. The script takes the best of the w4 through w9 peak transit skims before comparing it with drive-access transit."
tmp_HH_byTran_dr,"Drive-access transit household access","Intermediate potential access to households by drive-access peak transit. The script takes the best of the d4 through d9 peak transit skims before comparing it with walk-access transit."
tmp_Job_byAuto_FF,"Free-flow auto job access","Intermediate potential access to jobs by auto using free-flow travel time. It is used as the reference for congestion loss calculations."
tmp_Job_byAuto_SL,"Straight-line auto job access","Intermediate potential access to jobs using straight-line travel time. Straight-line time is based on centroid distance and average free-flow auto speed for the origin-destination pair."
tmp_HH_byAuto_FF,"Free-flow auto household access","Intermediate potential access to households by auto using free-flow travel time. It is used as the reference for congestion loss calculations."
tmp_HH_byAuto_SL,"Straight-line auto household access","Intermediate potential access to households using straight-line travel time. Straight-line time is based on centroid distance and average free-flow auto speed for the origin-destination pair."
Job_byAuto_rel_MAG,"Relative access to jobs by auto vs MAG","Zone Job_byAuto divided by the MAG household-weighted average for Job_byAuto. The denominator is sum(act_Job_byAuto) divided by sum(HH) within that geography. Values above 1 are above average and values below 1 are below average."
